,date,statement,label
0,06-May-19,"President Trump presented Eldrick “Tiger” Woods with the Presidential medal of Freedom today in an emotional cremony at the White House.President Trump has been friends with Woods and has played golf several times with both Woods and legendary golfer Jack Nicklaus.“Your spectacular achievements on the golf course, your triumph over physical adversity and your relentless will to win, win, win.” “These qualities embody the American spirit…”“Your spectacular achievements on the golf course, your triumph over physical adversity and your relentless will to win, win, win. These qualities embody the American spirit…” says Trump as he presents Tiger Woods with the Presidential Medal of Freedom. https://t.co/9QpTOlKdU7 pic.twitter.com/bCebEkFJa9— CBS News (@CBSNews) May 6, 2019Trending: KATIE HOPKINS WARNS AMERICANS Of Grave Danger Ahead: “Do Not Let This Great Country Become The United Kingdom” [VIDEO]The moment President Trump put the Medal of Freedom on Tiger Woods:.@TigerWoods becomes the fourth golfer in history to receive the Presidential Medal of Freedom. pic.twitter.com/NoQCXKphCX— Golf Channel (@GolfChannel) May 6, 2019In brief remarks, Tiger Woods thanked his family, and was emotional as he acknowledged the three golfers to be presented the Presidential Medal of Freedom before him: Arnold Palmer, Jack Nicklaus and Charlie Sifford.He spoke about his climb back to the top of his golf game:“I’ve tried to hang in there, and I’ve tried to come back and play the great game of golf again. I’ve been lucky enough to have had the opportunity to do it again.”“I’ve tried to hang in there, and I’ve tried to come back and play the great game of golf again. I’ve been lucky enough to have had the opportunity to do it again,” says Tiger Woods as he accepts the Presidential Medal of Freedom. https://t.co/9QpTOlKdU7 pic.twitter.com/kceP90lzQl— CBS News (@CBSNews) May 6, 2019Tiger recognized his family and his caddy Joe LaCava:",fake
1,06-May-19,"The mainstream media continues to aid the Democrat Party in their quest to destroy President Trump leading up to the 2020 election. Yesterday, ABC News published an article and then tweeted it to over 14 million followers on Twitter that talks about a “new effort” that’s been launched to “democratically elect the vice president in 2020.”There's a national push for voters to elect the U.S. vice president separately from the president. https://t.co/dOM0x7Lm1d— ABC News (@ABC) May 6, 2019The ABC News article begins by talking about a “national push” for “voters to elect the U.S. vice president separately from the president.”The ABC News article talks about Vice.run and its founder, David Blake who announced a national movement to elect the vice president independent of the votes cast for President of the United StatesTrending: KATIE HOPKINS WARNS AMERICANS Of Grave Danger Ahead: “Do Not Let This Great Country Become The United Kingdom” [VIDEO]Vice.run, is a campaign that seeks to create a separate and independent ballot line for the vice president in 2020. The group is trying to collect — from all 50 states — voter signatures and pledges in support of the separate vice president election.“An independently-elected vice president would give American voters a new level of direct control over who serves in the White House,” Vice.run says on its website. “Further, a separately-elected vice president could provide a moderating influence on the partisanship of the president.”The founder of Vice.run David Blake announced on Twitter earlier this month that Utah became the first state to reach the signature pledges goal since launching their website in March.ABC News even includes a video message from the Vice.run founder’s Twitter page. The only problem is the Vice.run Twitter account only has 236 followers.It’s kind of hard to start a national movement that changes the way America votes before the 2020 election when you’re only reaching 236 people on Twitter.You did it, Utah! Thanks to your efforts, we now have our first state with enough pledges to get ballot access for an independently elected Vice President. #electthevp pic.twitter.com/L5RNed6ncQ— vice.run (@ElectTheVP) May 3, 2019Vice.run tweets about the success they’ve had in a state that elected Mitt Romney as their United States Senator. Romney, who lost the 2012 presidential election to Barack Obama, is one of President Trump’s most vocal opponents. This feels more like a piece that ABC News is running to stir up a movement than to report about a movement, in our opinion.We are taking this effort all the way, and people are taking notice. Take the pledge today to help us with this first step, to reclaim our 12th amendment rights to democratically elect the vice president. #electthevphttps://t.co/DNutCVEfNL— vice.run (@ElectTheVP) May 5, 2019You can do better than this ABC News.Do you agree? Are you tired of watching the mainstream media pull out every stop to discredit our president?",fake
2,06-May-19,"There are already plenty of unforced errors coming from the appearances of 2020 candidate Joe Biden last weekend, but this one takes the cake.In an effort to try and gain sympathy and to have a hands-off approach from the press, Biden told a crowd at a fundraiser that his adult granddaughter said, “Mommy and daddy had a divorce and they’re going to really go after that.”He shamelessly made ridiculous claims that President Trump will go after his family during the campaign.In fact, he even claimed his grown-up granddaughter told him that the fact that “mommy and daddy had a divorce” would be exploited in the 2020 campaign.“This guy is going to go after me and my family. My generic point is they know how tough it’s going to be.”Trending: KATIE HOPKINS WARNS AMERICANS Of Grave Danger Ahead: “Do Not Let This Great Country Become The United Kingdom” [VIDEO]Was this a warning to the media and other candidates?The Washington Examiner reports that  Biden, 76, spoke about how one of his grandsons, Robert “Hunter” Biden II, 13, said “Pop, you have to run pop,” at a family meeting eight weeks ago. He also said how Hunter Jr. showed him a photo circulating on the internet from the funeral of his father Beau — who died in 2015 aged 46 — and said, “Pop, it says: ‘Look at Biden molesting a kid.'”The former vice president said one grandchild told him: “Pop, I know it’s going to be mean, they’re going to say bad things about daddy. Mommy and daddy had a divorce and they’re going to really go after that.”That appeared to be a quotation from one of Hunter Biden’s children. He has three daughters, Naomi, 24, Finnegan, 19, and Maisy, 18.Adult grandchildren of Joe Biden speak like this?There is plenty of baggage to report on Joe Biden without resorting to attacking his family. Of all people, President Trump knows what it’s like to be attacked and to have his family in the spotlight being attacked.This tactic is all part of Biden’s shtick and attempts at playing coy with the media. Let’s face it, he doesn’t want the hard questions about his inappropriate touching of women and is using his grandchildren to fend off any criticism.HE PANDERED ALL WEEKEND IN SOUTH CAROLINA TO THE BLACK COMMUNITY:One thing is true…Joe Biden panders and lies during campaign speeches like no one else. He’s had decades to perfect his technique of trying to raise fear in the minority community to keep those votes coming. The question is…are the people in the black community still buying Biden’s shtick?Joe Biden took a page from the Hillary Clinton playbook yesterday when during a rally in Columbia, South Carolina he pandered to the black vote by telling the “folks” that racism and hatred by Republicans and  Trump will bring back “Jim Crow” laws:“Folks, last year, 24 states introduced or enacted at least 70 bills to curtail the right the vote. And guess what, mostly directed at ‘people of color’ You see it. We have Jim Crow sneaking back in. No, I mean it!”He pointed out the Stacey Abrams loss and the Florida race where Andrew Gillum lost his race for governor.“Why? Because they know if everybody has an equal right to vote, guess what? They lose!” Biden brought up the 2015 Charleston church shooting and Obama singing ‘Amazing Grace’:“I watched my buddy Barack stand up there, I watched him talk, and he talked about we have to find that ‘Amazing Grace’. What we’ve never seen, when we have bad folks splitting people…Ku Klux Klan, neo-Nazis, white supremacists, marching, chanting hate coming out of the woods literally with their torches, coming out from under rocks, and shouting the same antisemitic bile that was shouted and spoken to in Germany in the 30’s.”Biden gave a glowing description of Obama, of course, and kept calling him his “buddy”:“By the way, he’s a hell of a guy, I worked with him for eight years, I watched him, he has enormous integrity, and nobody I’ve ever worked with was smarter, and he is a decent, decent, decent man,” Biden said. “And folks, I think he was one of the best president’s we’ve ever, ever had.”Must be 50 people there. Things are picking up. 🤣😂RT @JoeBiden: Thank you for the warm welcome, Columbia! It’s always great to be back in South Carolina. pic.twitter.com/8kY73ywcu3— Irv K (@IrvK) May 5, 2019He shouted to all 50 people at the rally:“Above all else, we must defeat Donald Trump!”LOL!",fake
3,05-May-19,"Former Vice President Joe Biden will be 78-years-old by the time the election rolls around in November of 2020 so it’s no wonder he gets a little mixed up sometimes. The problem is that this isn’t just some family friend or elderly Uncle Joe. This man is running for president!He told a group of donors in Columbia, South Carolina on Saturday that “14 heads of state” have contacted him, and “voiced concerns about Trump.” The problem with that is that Bloomberg reports he included Margaret Thatcher in his list of leaders. Did she contact him from the grave? Not only is this really bad form for a former VP but even worse for someone who is trying to be taken seriously in the 2020 election. Would this comment of faux concern have a tinge of sedition in it?He did correct himself claiming he was actually referring to British Prime Minister Theresa May but the gaffe is out there and is just one more example of Biden’s scattered thinking on the stump (see below).Biden also went low and called President Trump a  “clown” and a  “no good S.O.B.”While Biden claims to be taking the high road when he compares himself to President Trump, it certainly is a low blow to speak of a sitting president like Biden continues to do.Trending: KATIE HOPKINS WARNS AMERICANS Of Grave Danger Ahead: “Do Not Let This Great Country Become The United Kingdom” [VIDEO]He also pulled out the race card during his South Carolina visit saying that Republicans want to take us back to “Jim Crow”.The supercut below shows just how scattered Joe really is when he mixes up words and even makes up new ones during his speech to Union workers.The curious thing is that not one of the many gaffes below was seen on the news.Biden really nailed it today. [Supercut!] pic.twitter.com/kC49kEnGqT— Tom Elliott (@tomselliott) April 29, 2019While Joe tried to get everyone worked up about his campaign, the supporters in the crowd looked just as sleepy as Joe’s slurred words: ",fake
4,05-May-19,"The Democrats are in trouble, and they know it. President Trump’s economy is now considered the “envy of the world,” and his new U.S. Attorney General Bill Barr has made no secret about the DOJ’s investigation into those who spied on Donald Trump and the Trump campaign in 2016. Both of these developments spell very bad news for Democrats and their chances of defeating President Trump in the 2020 general election.Democrats, who for decades have been trying to convince Americans that they are the party of diversity, have put up enough presidential candidates to fill a ballroom. Unfortunately, for the party of division and deceit, it looks like they’re going to end up with a choice of two candidates. The two frontrunners include Senator Bernie Sanders, an aging, white, male, who’s an avowed socialist that became a millionaire after years of working as a public servant, and former VP Joe Biden, the other aging, white, male, who earned the nickname “Creepy Joe” for his inability to keep his hands and lips off the bodies, heads and necks of young girls and random women.The Chicago Tribune just published an exhaustive list of Democrats who hope to unseat President Trump in 2020.Officially in: Colorado Sen. Michael Bennet, Former Vice President Joe Biden, South Bend, Ind., Mayor Pete Buttigieg, Massachusetts Rep. Seth Moulton, California Rep. Eric Swalwell, Ohio Rep. Tim Ryan, Sen. Kirsten Gillibrand, former Rep. Beto O’Rourke, former Gov. John Hickenlooper, Gov. Jay Inslee, Sen. Bernie Sanders, Sen. Amy Klobuchar, Sen. Elizabeth Warren, Sen. Cory Booker, Sen. Kamala Harris, ex-San Antonio Mayor Julian Castro, Rep. Tulsi Gabbard, former Rep. John Delaney, Miramar, Fla., Mayor Wayne Messam, author Marianne Williamson, and former tech executive Andrew Yang.Trending: KATIE HOPKINS WARNS AMERICANS Of Grave Danger Ahead: “Do Not Let This Great Country Become The United Kingdom” [VIDEO]Last night, comedian Adam Sandler, a registered Republican, made an appearance on Saturday Night Live to pay tribute to the memory of his deceased, former cast member and good friend, Chris Farley. Here’s Sandler’s beautiful tribute to his good friend and fellow comedic giant, Chris Farley:Sandler made a hilarious return to the SNL newsroom ripping the Democrats running president:Adam Sandler absolutely crushed it on SNL. For the first time in forever it was actually funny. Opera Man, the best 48 seconds of the show. pic.twitter.com/SZwdFanouJ— Red Nation Rising (@RedNationRising) May 5, 2019 His update on the state of the Democratic Party and the chances each candidate has to become the Democrat presidential candidate who runs against President Trump in 2020 was spot on!",fake
5,05-May-19,"One thing is true…Joe Biden panders and lies during campaign speeches like no one else. He’s had decades to perfect his technique of trying to raise fear in the minority community to keep those votes coming. The question is…are the people in the black community still buying Biden’s shtick?Joe Biden took a page from the Hillary Clinton playbook yesterday when during a rally in Columbia, South Carolina he pandered to the black vote by telling the “folks” that racism and hatred by Republicans and  Trump will bring back “Jim Crow” laws:“Folks, last year, 24 states introduced or enacted at least 70 bills to curtail the right the vote. And guess what, mostly directed at ‘people of color’ You see it. We have Jim Crow sneaking back in. No, I mean it!”“Why? Because they know if everybody has an equal right to vote, guess what? They lose!” Biden brought up the 2015 Charleston church shooting and Obama singing ‘Amazing Grace’:Trending: KATIE HOPKINS WARNS AMERICANS Of Grave Danger Ahead: “Do Not Let This Great Country Become The United Kingdom” [VIDEO]“I watched my buddy Barack stand up there, I watched him talk, and he talked about we have to find that ‘Amazing Grace’. What we’ve never seen, when we have bad folks splitting people…Ku Klux Klan, neo-Nazis, white supremacists, marching, chanting hate coming out of the woods literally with their torches, coming out from under rocks, and shouting the same antisemitic bile that was shouted and spoken to in Germany in the 30’s.”Biden gave a glowing description of Obama, of course, and kept calling him his “buddy”:“By the way, he’s a hell of a guy, I worked with him for eight years, I watched him, he has enormous integrity, and nobody I’ve ever worked with was smarter, and he is a decent, decent, decent man,” Biden said. “And folks, I think he was one of the best president’s we’ve ever, ever had.”Must be 50 people there. Things are picking up. 🤣😂RT @JoeBiden: Thank you for the warm welcome, Columbia! It’s always great to be back in South Carolina. pic.twitter.com/8kY73ywcu3— Irv K (@IrvK) May 5, 2019He shouted to all 50 people at the rally:“Above all else, we must defeat Donald Trump!”LOL! ",fake
6,05-May-19,"The Clintons are desperate for every dollar they can grift from their loyalists, so they planned a pity party road show. Since the Clinton Foundation dollars dried up, this is their last ditch effort to profit off of the people who are still clinging to their “I’m With Her” dreams…Well, it looks like that road show hit a speed bump!Ticket prices have plummeted for the Clinton grifters!Tickets were going for as low as $20 for their 13-city pity party tour.Stub Hub tickets were even lower than that!Trending: KATIE HOPKINS WARNS AMERICANS Of Grave Danger Ahead: “Do Not Let This Great Country Become The United Kingdom” [VIDEO]According to the New York Post, prices have dropped from $1,785 in November to a price that is now less than half of that: The best seats in the house at Seattle’s WaMu Theater on Friday could be had for $829, a steep 54% drop from the $1,785 that the former first couple fetched when the tour was announced in early November.Groupon was used to try and push tickets to the tour and prices for the 90-minute “performance” on Friday were from $66.50 to $519.The sour grapes and fearmongering continued with Hillary claiming:“I really believe that we are in a crisis, a constitutional crisis. This is a test for our country.”Bill jumped in with this gem of a lie about the Trump administration:“These people, they don’t believe the same set of rules apply to them that apply to everyone else.”Projection much?The ironic thing is that the tour was produced by Live Nation…the company that also produced Michelle Obama’s tour. When the tour was announced last Fall, Live Nation said the Clintons would discuss “stories and inspiring anecdotes that shaped their historic careers in public service, while also discussing issues of the day and looking toward the future.”It looks like the American people are 100% FED Up! with the Clinton grifters… ",fake
7,04-May-19,"STACEY ABRAMS CONTINUES TO SPEAK ABOUT THE GEORGIA GOVERNOR’S RACE:She and Hillary Clinton are both on the sour grapes tour of post elections losers.Abrams lost to the Republican Brian Kemp by over 50,000 votes.One of our favorite moments from .@staceyabrams in #Houston for .@AnniesListTX while speaking about keeping up the fight: ""usually candidates feel like they have to concede if they want to run for office again to show that they're a good sport. I am not a good sport."" pic.twitter.com/SHOstTIWMA— The Texas Signal (@TheTexasSignal) May 3, 2019Trending: KATIE HOPKINS WARNS AMERICANS Of Grave Danger Ahead: “Do Not Let This Great Country Become The United Kingdom” [VIDEO]Fox News: reports that she made the remarks at a Houston fundraiser hosted by Annie’s List, a group that seeks to elect progressive women into office. Abrams justified her refusal to accept the result of the election by calling Kemp “an architect of voter suppression that spent the last eight years knitting together a system of voter suppression that is unparalleled in America.”According to Texas Tribune reporter Patrick Svitek, she said in her remarks that “we don’t have to concede elections anymore, because when we concede, we are condoning systems that are used to oppress us.”ABRAMS IS UNDER INVESTIGATION IN GEORGIA FOR ETHICS VIOLATIONS RELATED TO THE 2018 ELECTION FOR GOVERNOR:Georgia’s new director of the state ethics commission started his job on Monday and wasted no time getting down to business.Former county prosecutor David Emadi plans to subpoena bank records from the campaign of 2018 Democratic gubernatorial nominee Stacey Abrams and groups that raised money for her.Abrams’ campaign manager wasted no time in calling Emadi biased:“The new ethics chief…a Kemp donor and former Republican Party leader…is using his power to threaten and lob baseless partisan accusations at the former Abrams campaign when they should be focused on real problems like the unethical ties between the governor’s office and voting machine lobbyists instead.”After Emadi was introduced to the media as the new ethics commission director, he discussed that the investigation into the Abrams campaign is “moving forward”:“Those investigations are all moving forward. What I can say about the investigation into the Abrams campaign is, in the relatively near future, I expect we will be issuing subpoenas for bank and finance records of both Miss Abrams and various PACs and special-interest groups that were affiliated with her campaign.”The investigations began after an audit of Abram’s campaign:AJC reports:More than a dozen “independent groups,” mostly funded by out-of-state donors, were created in Georgia last year to help support Abrams’ effort. Abrams still hasn’t conceded to Georgia Governor Brian Kemp but has been touted as a possible candidate for U.S. Senate, President, Vice-President and a 2022 run for Governor of Georgia…Emadi means business and has vowed to be neutral and stick to the facts.He even vowed not to vote during his tenure.THIS IS IRONIC:Stacey Abrams has a bad case of delusion caused by sour grapes…During a speech to Al Sharpton’s National Action Network, Abrams delivered the unbelievable claim that “We won”.She goes on to explain why she still hasn’t conceded.“We had this little election back in 2018. And despite the final tally and the inauguration and the situation we find ourselves in, I do have very affirmative statement to make. We won.”Abrams on why she didn’t concede: “I refused to concede because, here’s the thing: concession needs to say something is right and true and proper. … You can’t trick me into saying it was right.” Republicans “stole” the election from “the voters of Georgia.”Abrams on why she didn't concede: “I refused to concede because, here's the thing: concession needs to say something is right and true and proper. … You can’t trick me into saying it was right.” Republicans ""stole"" the election from ""the voters of Georgia.” pic.twitter.com/JvvsRSBWkw— Tom Elliott (@tomselliott) April 3, 2019Abrams has continuously claimed black votes were suppressed by her opponent in the Georgia governor’s race. Brian Kemp won the race by 54,000 votes but Abrams still won’t concede.She’s been touted as a VP pick for Biden if he runs for president. She has also said she hasn’t ruled out her own run for president in 2020.She appeared on ‘The View’ where she claimed the fight wasn’t ‘fair’ so she would never know if she really lost the race.Stacey Abrams says she “absolutely” stands by her decision not to concede in the Georgia gubernatorial race. “I can’t say that empirically I won but I will never know because we did not have a fair fight.”Stacey Abrams says she ""absolutely"" stands by her decision not to concede in the Georgia gubernatorial race.""I can't say that empirically I won but I will never know because we did not have a fair fight."" Via ABC pic.twitter.com/5divvS4pPr— Kyle Griffin (@kylegriffin1) March 27, 2019The politicians of today’s left just can’t concede but continue the delusion aided by the leftist media enablers.OUR PREVIOUS REPORT ON ABRAMS’ REFUSAL TO ACCEPT HER ELECTION LOSS:Stacey Abrams lost the election for governor of Georgia by 50K votes but is still making the rounds trying to convince people that the election was illegitimate. Did Abrams go to the Hillary Clinton School of Election Loss Denial? It’s all about Stacey and keeping her name out there. She joined Jake Tapper to make claims that are just not true. Why give this woman a platform to divide but…THIS IS CNN.“The law, as it stands, says that he received an adequate number of votes to become the governor of Georgia, and I acknowledge the law as it stands. I am a lawyer by training and I am someone who’s taken a Constitutional oath to uphold the law, but we know sometimes the law does not do what it should and something being legal does not make it right. This is someone who has compromised our systems. He has compromised our Democratic systems and that is not appropriate.”Something tells us Abrams won’t fade away but will continue to be a divisive politician. Maybe that’s why she lost.Notice how Tapper questions Abrams on whether she considers the election of Kemp “legitimate”…“He is the legal governor of Georgia and here’s the thing, Jake. I want to be very clear. Words have meaning and I’ve spent my lifetime not only as an attorney. but as a writer and I’m careful of the words I choose. When he takes the oath of office he will be the legal governor of the state of Georgia, the legal victor, but what you are looking to me to say is that there was no compromise of our democracy and that there should be some political compromise in the language I use and that’s not right. What’s not right is saying that something was done properly when it was not.”She continued…“I will never deny the legal premature that says he is in this position and I pray for his success, but will I say that this election was not tainted, was not a disinvestment and disenfranchisement of thousands of voters? I will not say not.”ABRAMS HAS A MAJOR CASE OF SOUR GRAPES!",fake
8,04-May-19,"VICE Media just got a big infusion of cash from three different entities…One of them is George Soros.Vice has a global reach of 300 million and had been suffering but is now pumped up by far-left money man Soros.Soros seems to be everywhere trying to change elections and trying to push for the “one world order” he so often talks about.It’s no secret now that in the 2018 Midterms, Soros dumped millions into different elections across the country. One of the more controversial is Rep. Rashida Tlaib who called President Trump a “motherf**ker”:According to the Washington Free Beacon, Congresswoman-elect Rashida Tlaib (D., Mich.) did not disclose the name of the source of funds for a fellowship that was paid by liberal billionaire George Soros—as required by the House ethics committee—and also disclosed a lesser amount than she received, according to a review of tax and financial disclosure forms.Trending: KATIE HOPKINS WARNS AMERICANS Of Grave Danger Ahead: “Do Not Let This Great Country Become The United Kingdom” [VIDEO]It’s obvious that the involvement of Soros means that Vice…along with the other biased, leftist media…will be ramping up their full-on assault of Trump in the 2020 election.Expect lots of October 2020 “surprises.”Their game plan is so transparent.Sadly, the progressive echo chamber will all march in lockstep to whatever garbage the DNC fabricates.Variety reports that the Brooklyn-based youth-culture company, launched 25 years ago as a punk-culture magazine in Montreal, was valued at $5.7 billion less than two years ago. Since then, its valuation has dropped: Disney disclosed a $157 million write-down on its Vice equity stake last year. Vice previously raised about $1.4 billion from investors including TPG Capital, which plowed $450 million into the company in the summer of 2017.Watch for VICE to be out there with their Soros-sponsored propaganda.  ",fake
9,04-May-19,"The liberal media is in a full-blown panic over the prospect of losing any chance they had of defeating President Trump in 2020. The U.S. economy, as stated by the Drudge Report yesterday, is the “envy of the world.” Unemployment for Blacks, Hispanics, and women is at an all-time low, and Americans are seeing more money in their pockets as a result of the Trump tax cuts. But what’s really got the media down, is U.S. Attorney General Barr’s “no collusion” and “no obstruction of justice” conclusions on the Mueller report, that was predicated by a spying operation on President Trump and his 2016 campaign.Yesterday, a very angry Democrat U.S. Representative, Jamie Raskin (MD), took part in a four-person panel with MSNBC’s Yasmin Vossoughian. Rep Raskin joined the chorus of Democrats who are desperately trying to discredit AG Barr, who promised there would be an investigation by the DOJ into how the investigation was initiated on President Trump and his campaign, while he was still a private citizen.  Raskin told the MSNBC host that “What we have is an administration that is now engulfed in lawlessness and corruption,” saying that Democrats in Congress needs to “check them.” Raskin stated that the Attorney General should be on “our side,” claiming, “He’s obviously gone over to the side of the President and is cooperating in promoting the President’s position, now, which is that he will not cooperate with any subpoenas, he will not respond to any lawful order or requests from the House of Representatives.”Raskin was referring to AG Barr’s decision to decline his invitation to testify in front of the House Judiciary Committee about the Meuller report, after the committee, under the direction of  Chairman Jerry Nadler (D-NY) decided to allow staff members to question AG Barr during the Congressional hearings. Barr responded to their decision by saying that if staff members wanted to question him in a congressional hearing, they should run for a seat in Congress.A frustrated Rep Raskin boldly, and without any evidence, claimed Barr’s behavior is “constitutionally intolerable,” saying “Congress can’t put up with it.” Raskin explained, “We have to make clear to the public and to the whole system of government that the attorney general is acting outside of the law.”The MSNBC host overplayed her hand when she asked the Democrat congressman how the media could work with the Democrats to destroy the credibility of our U.S. Attorney General. Three times, Yasmin Vossoughian used the word “we” to when she openly strategized with her Democrat lawmaker guest, saying:Trending: KATIE HOPKINS WARNS AMERICANS Of Grave Danger Ahead: “Do Not Let This Great Country Become The United Kingdom” [VIDEO]“You’re bringing up a really good point here. Because one of the, I think, directives here, and the big question here is—do we pursue the Attorney General until he provides testimony for the House? Or, do we pursue the unredacted Mueller report along with testimony from Bob Mueller? Is that where we put our energy?”Watch” What do you think about this exchange? Should the Trump campaign, and frankly any Republican running for office in 2020, use tape of the remarks made by the MSNBC host, who openly strategized with her Democrat lawmaker about ways to discredit our U.S. attorney general?Tell us what you think in the comment section below. ",fake
