,date,statement,label
0,"May 6, 2019",WATCH: PRESIDENT TRUMP Presents Tiger Woods With The Presidential Medal of Freedom [Video],fake
1,"May 6, 2019",EMBARRASSING: ABC NEWS Uses Tweet From Account With 236 Followers To Push Story About Movement To Elect VP Independently From Trump,fake
2,"May 6, 2019","IS JOE BIDEN Using His Grandchildren to Make Accusations from Women Off Limits? “Pop, it says: ‘Look at Biden molesting a kid.'”",fake
3,"May 5, 2019",CONFUSED? Biden says ‘Margaret Thatcher’ Called Him With Concerns About Trump [Video],fake
4,"May 5, 2019","WATCH: Registered Republican, Adam Sandler DESTROYS Democrat Presidential Candidates In Hilarious SNL Skit",fake
5,"May 5, 2019",JOE BIDEN SHAMELESSLY PANDERS IN S.C.: Warns Republicans Want a Return of “Jim Crow”,fake
6,"May 5, 2019",THE CLINTON PITY PARTY Road Trip Hits A Speed Bump,fake
7,"May 4, 2019",FORMER CANDIDATE FOR GA GOVERNOR STACEY ABRAMS: “I am not delusional…I am not a good sport” [Video],fake
8,"May 4, 2019",SOROS PUMPS MILLIONS Into VICE Media…Prepping for a Full-On Assault on Trump 2020?,fake
9,"May 4, 2019",MSNBC Host Openly Colludes With Liberal Democrat Congressman: “How Do WE Pursue The Attorney General?” [VIDEO],fake
10,"May 3, 2019",REP DAN CRENSHAW Slams Rep. Ilhan Omar: Her Comments on Venezuela are “not Based on Fact or Reality” [Video],fake
11,"May 3, 2019",SECOND FEMALE SOMALI IMMIGRANT Turned MN State Lawmaker Says 9-11 Has Turned Muslims Into Victims,fake
12,"May 3, 2019",DEMOCRAT Presidential Candidate Kirsten Gillibrand Wants To Give Voters Taxpayer Dollars So They Can Donate It To Political Campaigns,fake
13,"May 3, 2019",FEAR: Powerful Players And Mainstream Media Are Panicking Over AG Barr,fake
14,"May 2, 2019",REPORTER: Biden Campaign Staff Physically Blocking Reporters from Access to Joe Biden,fake
15,"May 2, 2019","DEMOCRAT SIDESHOW GOES LOW: Rep. Cohen Mocks AG Barr By Eating KFC, Ranting While Holding A Chicken [Video]",fake
16,"May 2, 2019",LINDSEY GRAHAM Will Ask Chief Justice Roberts To Investigate Possible FISA Abuses [VIDEO],fake
17,"May 2, 2019",WATCH: Dem Rep Jerry Nadler BECOMES UNHINGED…Turns Off Mic Of GOP Rep Matt Gaetz…Rep Doug Collins Goes Off On Nadler,fake
18,"May 2, 2019",EPIC! SEN CHUCK GRASSLEY Destroys Reporter Then Just Walks Away: “The jig is up!” [Video],fake
19,"May 1, 2019","ALABAMA DEMOCRAT LAWMAKER On Abortion: “Some Kids Are Unwanted. So You Kill Them Now, Or You Kill Them Later” [VIDEO]",fake
20,"May 1, 2019",AG BARR BUSTS OUT LAUGHING After Ted Cruz Hilariously Exposes Democrat Senators “Exceptionally Weak Argument”,fake
21,"May 1, 2019",‘HOMEWRECKER’ KAMALA HARRIS Interrupts Barr Over and Over In Embarrassing Exchange [Video],fake
22,"May 1, 2019",Senator Hirono Goes Low: Rants and Curses at AG Barr…Lindsey Graham Finally Jumps In [Video],fake
23,"May 1, 2019",LIVE FEED: WATCH Desperate Democrats Use AG Bill Barr As Prop To Aid In Embarrassing Plot Destroy President Trump Before 2020 Election,fake
24,"Apr 30, 2019",WATCH: ARMORED VEHICLE Plows Into Crowd Of Civilians In Ocasio-Cortez and Bernie Sanders’ Socialist Utopia of Venezuela,fake
25,"Apr 30, 2019",REPORT: FBI Investigating Anti-Trump ANTIFA Plot To Supply Protesters At Border With Guns From Mexican Cartel,fake
26,"Apr 29, 2019","OCASIO-CORTEZ CUTS MIC Of Trump Supporter Challenging Her “Totally Absurd, Fascist” Take on Free Speech",fake
27,"Apr 29, 2019",LOL! CAFE That Charges A “Man Tax” And Gives Women Priority Seating Gets Some Very Bad News,fake
28,"Apr 29, 2019",SEN DICK DURBIN Gets Surprising Pushback From CNN Anchor Then Doubles Down With Shameless Lie That Trump Fomented Domestic Terror Attacks [Video],fake
29,"Apr 29, 2019",ILLEGAL ALIEN ADVOCATES SHOCKED That Trump Plans To Stop Illegals From Getting Taxpayer-Funded Housing Freebies,fake
30,"Apr 28, 2019","RABBI WHO SURVIVED SHOOTING: President Called Me To Convey Condolences, Was ‘So Comforting’",fake
31,"Apr 28, 2019",WATCH: CONSERVATIVE ACTIVIST FACES Off With Kamala Harris [Video],fake
32,"Apr 27, 2019",WI RALLY: President Trump Thanks Off-Duty Border Agent Who Opened Fire On Synagogue Shooter [VIDEO],fake
33,"Apr 27, 2019",DERANGED DEMOCRAT Terror Attack Survivor Steve Scalise Asks: “Why do Democrats always seem to prioritize criminals over law-abiding citizens?”,fake
