EMPLOYER_NAME,SOC_NAME,TOTAL_WORKERS,FULL_TIME_POSITION,PREVAILING_WAGE,WAGE_RATE_OF_PAY_FROM,CASE_STATUS,diff_wage_prevailing
INFOSYS LIMITED,COMPUTER OCCUPATION,1,1,77771,77771,CERTIFIED,0
UST GLOBAL INC,ACCOUNTANTS,1,1,47154,64000,CERTIFIED,16846
MULTNOMAH COUNTY OREGON,COMPUTER OCCUPATION,1,1,105830.4,105830.4,CERTIFIED,0
INFOSYS LIMITED,COMPUTER OCCUPATION,1,1,45760,65010,CERTIFIED,19250
SIEMENS ENERGY INC,ENGINEERS,1,1,92248,113006.25,CERTIFIED,20758.25
TECHNOSOFT ENGINEERING INC,ENGINEERS,3,1,63877,64000,CERTIFIED,123
NEA CONSULTING INC,COMPUTER OCCUPATION,1,1,63357,63357,CERTIFIED,0
TATA CONSULTANCY SERVICES LIMITED,COMPUTER OCCUPATION,4,1,54787,60700,CERTIFIED,5913
ASPENSTATE INC,ANALYSTS,1,1,60798,80000,CERTIFIED,19202
PYRAMID TECHNOLOGY SOLUTIONS INC,DOCTORS,1,1,70866,70866,CERTIFIED,0
PERFORMANCE RESOURCES NY INC,COMPUTER OCCUPATION,1,1,54579,57000,CERTIFIED,2421
MAGNELAB INC,COMPUTER OCCUPATION,1,1,62150,62150,CERTIFIED,0
CAPITAL ONE SERVICES LLC,ANALYSTS,1,1,83304,114400,CERTIFIED,31096
VOXSP INC,MATHEMATICIANS AND STATISTICIANS,1,1,40560,40560,CERTIFIED,0
INFOSYS LIMITED,COMPUTER OCCUPATION,1,1,64501,67820,CERTIFIED,3319
LHP SOFTWARE LLC,ACCOUNTANTS,1,1,54704,65000,CERTIFIED,10296
TVARANA SOFTWARE SOLUTIONS LLC,FINANCE,1,1,78957,96000,CERTIFIED,17043
GLOBALPOINT INC,COMPUTER OCCUPATION,1,1,55910,60000,CERTIFIED,4090
TATA CONSULTANCY SERVICES LIMITED,COMPUTER OCCUPATION,1,1,60070,60700,CERTIFIED,630
AMAZON CORPORATE LLC,ANALYSTS,1,1,69389,116600,CERTIFIED,47211
RAVZ INC,COMPUTER OCCUPATION,1,1,68827,74714,CERTIFIED,5887
COMPEST SOLUTIONS INC,ARCHITECTURE,1,1,43722,66000,CERTIFIED,22278
SNAP INC,COMPUTER OCCUPATION,1,1,136573,136573,CERTIFIED,0
KATERRA INC,COMPUTER OCCUPATION,1,1,43930,43930,CERTIFIED,0
